idx_feat_u,x,y,idx_part_u,idx_vert_u,vert_type,idx_feat_f,dist_feat_f,d,az,iF,interface,linkL,linkR,lengthL,lengthR,segmentL,segmentR,azimuthL,azimuthR,newvar,newflamvar
1,-98423.0,-101969.0,1011,66,5,1,70.09279563550022,-1.0,-1.0,-1,0,1,0,1.4142135623730951,2.23606797749979,5,-1,225.00000000000006,63.43494882292201,245811.0,1
1,-98424.0,-101970.0,1011,67,2,1,71.30918594402827,69.0,90.0,1,1,1,1,2.23606797749979,1.4142135623730951,5,6,206.56505117707795,45.0,245811.0,1
1,-98425.0,-101972.0,1011,68,5,1,72.80109889280519,-1.0,-1.0,-1,0,1,1,1.0,2.23606797749979,5,6,180.0,26.56505117707799,245811.0,1
1,-98425.0,-101973.0,1011,69,2,1,73.08214556237385,70.0,90.0,1,1,1,1,4.47213595499958,1.0,5,6,153.43494882292208,0.0,245811.0,1
1,-98423.0,-101977.0,1011,70,2,1,71.78439941937245,68.0,90.0,1,1,1,1,17.46424919657298,4.47213595499958,5,6,203.62937773065684,333.434948822922,245811.0,1
1,-98430.0,-101993.0,1011,71,5,1,75.32595834106593,-1.0,-1.0,-1,0,0,1,7.615773105863909,17.46424919657298,-1,6,246.80140948635187,23.629377730656827,245811.0,1
1,-98437.0,-101996.0,1011,72,5,1,82.09750300709517,-1.0,-1.0,-1,0,0,0,1.4142135623730951,7.615773105863909,-1,-1,225.00000000000006,66.80140948635182,245811.0,1
1,-98438.0,-101997.0,1011,73,5,1,83.05419917138447,-1.0,-1.0,-1,0,0,0,4.47213595499958,1.4142135623730951,-1,-1,206.56505117707795,45.0,245811.0,1
1,-98440.0,-102001.0,1011,74,5,1,85.00588214941364,-1.0,-1.0,-1,0,0,0,14.212670403551895,4.47213595499958,-1,-1,219.28940686250036,26.56505117707799,245811.0,1
1,-98449.0,-102012.0,1011,75,5,1,94.76286192385707,-1.0,-1.0,-1,0,0,0,1.0,14.212670403551895,-1,-1,270.0,39.289406862500364,245811.0,1
1,-98450.0,-102012.0,1011,76,5,1,95.75489543621255,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,90.0,245811.0,1
1,-98450.0,-102013.0,1011,77,5,1,95.88534820294495,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,0.0,245811.0,1
1,-98450.0,-102014.0,1011,78,5,1,96.0260381354974,-1.0,-1.0,-1,0,0,0,40.311288741492746,1.0,-1,-1,156.61477894278622,0.0,245811.0,1
1,-98434.0,-102051.0,1011,79,5,1,87.66413177577246,-1.0,-1.0,-1,0,0,0,1.0,40.311288741492746,-1,-1,180.0,336.6147789427862,245811.0,1
1,-98434.0,-102052.0,1011,80,5,1,88.02272433866155,-1.0,-1.0,-1,0,0,0,31.11269837220809,1.0,-1,-1,134.99999999999994,0.0,245811.0,1
1,-98412.0,-102074.0,1011,81,5,1,80.72174428244226,-1.0,-1.0,-1,0,0,0,32.64965543462902,31.11269837220809,-1,-1,207.34987578006988,315.0,245811.0,1
1,-98427.0,-102103.0,1011,82,5,1,111.8659912573969,-1.0,-1.0,-1,0,0,0,1.0,32.64965543462902,-1,-1,180.0,27.34987578006988,245811.0,1
1,-98427.0,-102104.0,1011,83,5,1,112.60994627474076,-1.0,-1.0,-1,0,0,0,1.4142135623730951,1.0,-1,-1,225.00000000000006,0.0,245811.0,1
1,-98428.0,-102105.0,1011,84,5,1,114.02192771568107,-1.0,-1.0,-1,0,0,0,1.0,1.4142135623730951,-1,-1,90.0,45.0,245811.0,1
1,-98427.0,-102105.0,1011,85,5,1,113.35784048754634,-1.0,-1.0,-1,0,0,0,3.1622776601683795,1.0,-1,-1,161.56505117707798,270.0,245811.0,1
1,-98426.0,-102108.0,1011,86,5,1,114.97825881443848,-1.0,-1.0,-1,0,0,0,18.384776310850235,3.1622776601683795,-1,-1,202.38013505195957,341.56505117707803,245811.0,1
1,-98433.0,-102125.0,1011,87,5,1,132.61221663180206,-1.0,-1.0,-1,0,0,0,1.0,18.384776310850235,-1,-1,180.0,22.380135051959556,245811.0,1
1,-98433.0,-102126.0,1011,88,5,1,133.4053971921676,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,0.0,245811.0,1
1,-98433.0,-102127.0,1011,89,5,1,134.2013412749664,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,90.0,0.0,245811.0,1
1,-98432.0,-102127.0,1011,90,5,1,133.60014970051492,-1.0,-1.0,-1,0,0,0,13.416407864998739,1.0,-1,-1,116.56505117707793,270.0,245811.0,1
1,-98420.0,-102133.0,1011,91,5,1,131.88252348207476,-1.0,-1.0,-1,0,0,0,3.605551275463989,13.416407864998739,-1,-1,123.69006752597976,296.565051177078,245811.0,1
1,-98417.0,-102135.0,1011,92,5,1,132.09844813622905,-1.0,-1.0,-1,0,0,0,17.46424919657298,3.605551275463989,-1,-1,156.3706222693432,303.69006752597977,245811.0,1
1,-98410.0,-102151.0,1011,93,5,1,143.26548781894402,-1.0,-1.0,-1,0,0,0,17.46424919657298,17.46424919657298,-1,-1,203.62937773065684,336.3706222693432,245811.0,1
1,-98417.0,-102167.0,1011,94,5,1,160.72958657322553,-1.0,-1.0,-1,0,0,0,1.4142135623730951,17.46424919657298,-1,-1,225.00000000000006,23.629377730656827,245811.0,1
1,-98418.0,-102168.0,1011,95,5,1,162.04937519163718,-1.0,-1.0,-1,0,0,0,17.46424919657298,1.4142135623730951,-1,-1,203.62937773065684,45.0,245811.0,1
1,-98425.0,-102184.0,1011,96,5,1,178.35358140502814,-1.0,-1.0,-1,0,1,0,17.46424919657298,17.46424919657298,6,-1,246.37062226934316,23.629377730656827,245811.0,1
1,-98441.0,-102191.0,1011,97,3,1,192.77447963877376,192.27824304059516,31.607502246250874,1,1,1,1,17.46424919657298,17.46424919657298,6,7,293.6293777306568,66.37062226934317,245811.0,1
1,-98457.0,-102184.0,1011,98,3,1,194.7331507473753,194.7331507473753,32.62915583571557,1,1,1,1,16.15549442140351,17.46424919657298,6,7,291.8014094863518,113.62937773065683,245811.0,1
1,-98472.0,-102178.0,1011,99,3,1,198.40362899906847,198.40362899906847,37.21644047353461,1,1,1,1,1.0,16.15549442140351,6,7,270.0,111.80140948635182,245811.0,1
1,-98473.0,-102178.0,1011,100,3,1,199.01004999748127,199.01004999748127,37.445715239089004,1,1,1,1,1.0,1.0,6,7,270.0,90.0,245811.0,1
1,-98474.0,-102178.0,1011,101,3,1,199.61963831246663,199.61963831246663,37.67359333983044,1,1,1,1,1.0,1.0,6,7,180.0,90.0,245811.0,1
1,-98474.0,-102179.0,1011,102,5,1,200.4120754844877,-1.0,-1.0,-1,0,0,1,10.816653826391969,1.0,-1,7,213.69006752597974,0.0,245811.0,1
